model,auprc,auroc,f1,config,scaler,pca_components,time_seconds,base_model
LOF(k=50),0.1954832299124199,0.5648045534991775,0.2366463826557096,robust_pcaNone,robust,,5.130444049835205,LOF
RandomProjection_LOF(B=20),0.193858503659519,0.5629513266718307,0.239948119291285,robust_pcaNone,robust,,12.699405193328856,RandomProjection_LOF
KNN_Distance(k=5),0.1882374657680518,0.5540018274176223,0.2356963756292443,robust_pcaNone,robust,,0.8940954208374023,KNN_Distance
"OneClassSVM(kernel=rbf, nu=0.1)",0.1847527670279669,0.5556029423752841,0.2360041623066966,robust_pcaNone,robust,,13.806167840957642,OneClassSVM
PCA_Reconstruction(n=80),0.1808822739097748,0.5382689136622286,0.2264957264745232,robust_pcaNone,robust,,0.1038465499877929,PCA_Reconstruction
"DBSCAN(eps=1.0, min_samples=5)",0.1807199001552523,0.5521608757000354,0.2336597585710489,robust_pcaNone,robust,,0.5081284046173096,DBSCAN
Mahalanobis_Distance,0.173769565469037,0.5170556355186281,0.2291094546650805,standard_pca80,standard,80.0,0.0353386402130126,Mahalanobis_Distance
"IsolationForest(n=500, samp=512)",0.1547747997717301,0.5272795429630415,0.2304052663821142,robust_pca80,robust,80.0,4.729166746139526,IsolationForest
EllipticEnvelope(support=0.8),0.1534303339521479,0.6205927241332749,0.2839958158704422,robust_pca80,robust,80.0,22.273982286453247,EllipticEnvelope
