base_model,auprc_count,auprc_mean,auprc_std,auprc_min,auprc_max,time_seconds_mean
DBSCAN,3,0.1653,0.0222,0.1398,0.1807,0.425
EllipticEnvelope,3,0.1517,0.0022,0.1492,0.1534,40.4978
IsolationForest,3,0.1444,0.0114,0.1322,0.1548,4.7609
KNN_Distance,3,0.1721,0.0218,0.1473,0.1882,0.7132
LOF,3,0.1773,0.0206,0.155,0.1955,4.6864
Mahalanobis_Distance,3,0.165,0.0152,0.1474,0.1738,0.06
OneClassSVM,3,0.1713,0.0227,0.1451,0.1848,66.9415
PCA_Reconstruction,3,0.1783,0.0035,0.1743,0.1809,0.0672
RandomProjection_LOF,3,0.1763,0.0206,0.1537,0.1939,11.9177
